date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:39:28	55381/55381	---MCZ	200	added ('OK')	text/html	etag:W/%225ea46bb6a138d775acf47e3f687451fb%22	https://solapa-html.vercel.app/index.html	E:/sabia/solapa-html.vercel.app/index.html	(from )
17:39:28	1446/1446	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Nov%202022%2012:09:30%20GMT	https://solapa-html.vercel.app/robots.txt		(from )
17:39:29	163872/163872	---MCZ	200	added ('OK')	text/css	etag:W/%22e1aebbfb4234e7cc3b044060a6ddd07b%22	https://solapa-html.vercel.app/assets/vendors/bootstrap/css/bootstrap.css	E:/sabia/solapa-html.vercel.app/assets/vendors/bootstrap/css/bootstrap.css	(from https://solapa-html.vercel.app/index.html)
17:39:29	28773/28773	---MCZ	200	added ('OK')	text/css	etag:W/%22201adcaac31fcc7f7f2df6fe69277d5b%22	https://solapa-html.vercel.app/assets/vendors/fontawesome/css/font-awesome.css	E:/sabia/solapa-html.vercel.app/assets/vendors/fontawesome/css/font-awesome.css	(from https://solapa-html.vercel.app/index.html)
17:39:29	12844/12844	---MCZ	200	added ('OK')	text/css	etag:W/%220cee1f41c5edea729d3f9c244ccdd88a%22	https://solapa-html.vercel.app/assets/vendors/flaticons/flaticon.css	E:/sabia/solapa-html.vercel.app/assets/vendors/flaticons/flaticon.css	(from https://solapa-html.vercel.app/index.html)
17:39:29	75690/75690	---MCZ	200	added ('OK')	text/css	etag:W/%229553df5b101bfd7910ed3637f4479e09%22	https://solapa-html.vercel.app/assets/vendors/animate/css/animate.css	E:/sabia/solapa-html.vercel.app/assets/vendors/animate/css/animate.css	(from https://solapa-html.vercel.app/index.html)
17:39:29	20471/20471	---MCZ	200	added ('OK')	text/css	etag:W/%2252125a31b3bf379a1fa0cff9c007a81c%22	https://solapa-html.vercel.app/assets/vendors/owl-slider/css/owl.css	E:/sabia/solapa-html.vercel.app/assets/vendors/owl-slider/css/owl.css	(from https://solapa-html.vercel.app/index.html)
17:39:30	3160/3160	---MCZ	200	added ('OK')	text/css	etag:W/%229b833cbc49811eeaca68255ece03925a%22	https://solapa-html.vercel.app/assets/vendors/icomoon-fonts/css/style.css	E:/sabia/solapa-html.vercel.app/assets/vendors/icomoon-fonts/css/style.css	(from https://solapa-html.vercel.app/index.html)
17:39:30	37088/37088	---MCZ	200	added ('OK')	text/css	etag:W/%227bae076e210b42e3a3a9b338e454fde8%22	https://solapa-html.vercel.app/assets/vendors/jquery-ui/css/jquery-ui.css	E:/sabia/solapa-html.vercel.app/assets/vendors/jquery-ui/css/jquery-ui.css	(from https://solapa-html.vercel.app/index.html)
17:39:30	13793/13793	---MCZ	200	added ('OK')	text/css	etag:W/%22d320a0cc0d56eadadd47088757a6f933%22	https://solapa-html.vercel.app/assets/vendors/animate/css/custom-animate.css	E:/sabia/solapa-html.vercel.app/assets/vendors/animate/css/custom-animate.css	(from https://solapa-html.vercel.app/index.html)
17:39:30	13735/13735	---MCZ	200	added ('OK')	text/css	etag:W/%2235d290afd71a6053d8195ea13170b4e9%22	https://solapa-html.vercel.app/assets/vendors/fancybox/css/jquery.fancybox.min.css	E:/sabia/solapa-html.vercel.app/assets/vendors/fancybox/css/jquery.fancybox.min.css	(from https://solapa-html.vercel.app/index.html)
17:39:30	13677/13677	---MCZ	200	added ('OK')	text/css	etag:W/%2224f21657c5465ed6e144fb4401350e07%22	https://solapa-html.vercel.app/assets/vendors/swiper/swiper.min.css	E:/sabia/solapa-html.vercel.app/assets/vendors/swiper/swiper.min.css	(from https://solapa-html.vercel.app/index.html)
17:39:31	7216/7216	---M--	200	added ('OK')	image/png	etag:%22844012d0c54cc408650b8835af3c9b41%22	https://solapa-html.vercel.app/assets/images/favicons/apple-touch-icon.png	E:/sabia/solapa-html.vercel.app/assets/images/favicons/apple-touch-icon.png	(from https://solapa-html.vercel.app/index.html)
